ind	father	mother	sex
10086	0	0	1
10087	0	0	2
10102	0	0	1
10103	0	0	2
10128	0	0	1
10129	0	0	2
10136	0	0	1
10137	0	0	2
10150	0	0	1
10151	0	0	2
10162	0	0	1
10163	0	0	2
10164	0	0	1
10165	0	0	2
10166	0	0	1
10167	0	0	2
10192	0	0	1
10193	0	0	2
10202	0	0	1
10203	0	0	2
10206	0	0	1
10207	0	0	2
10208	0	0	1
10209	0	0	2
10216	0	0	1
10217	0	0	2
10218	0	0	1
10222	0	0	1
10223	0	0	2
10224	0	0	1
10225	0	0	2
10228	0	0	1
10230	0	0	1
10231	0	0	2
10234	0	0	1
10235	0	0	2
10236	0	0	1
10237	0	0	2
10240	0	0	1
10241	0	0	2
10246	0	0	1
10247	0	0	2
10248	0	0	1
10249	0	0	2
10252	0	0	1
10253	0	0	2
10256	0	0	1
10257	0	0	2
10258	0	0	1
10259	0	0	2
10260	0	0	1
10261	0	0	2
10262	0	0	1
10263	0	0	2
10264	0	0	1
10265	0	0	2
10266	0	0	1
10267	0	0	2
10268	0	0	1
10269	0	0	2
10270	0	0	1
10271	0	0	2
10272	0	0	1
10273	0	0	2
10276	0	0	1
10277	0	0	2
10278	0	0	1
10279	0	0	2
10280	0	0	1
10281	0	0	2
10282	0	0	1
10283	0	0	2
10284	0	0	1
10285	0	0	2
10395	0	0	1
10396	0	0	2
10432	0	0	2
10439	0	0	1
10440	0	0	2
10441	0	0	1
10453	0	0	1
10454	0	0	2
10455	0	0	1
10456	0	0	2
10457	0	0	1
10458	0	0	2
10459	0	0	1
10460	0	0	2
10463	0	0	1
10464	0	0	2
10465	0	0	1
10466	0	0	2
10470	0	0	2
10473	0	0	1
10474	0	0	2
10475	0	0	1
10476	0	0	2
10477	0	0	1
10478	0	0	2
10479	0	0	1
10480	0	0	2
10481	0	0	1
10482	0	0	2
10483	0	0	1
10484	0	0	2
10692	0	0	1
10707	0	0	2
10725	0	0	2
10730	0	0	1
10731	0	0	2
10732	0	0	1
10733	0	0	2
10734	0	0	1
10735	0	0	2
10736	0	0	1
10737	0	0	2
10738	0	0	1
10739	0	0	2
10881	0	0	1
10882	0	0	2
10906	0	0	2
10993	0	0	1
11021	0	0	1
11022	0	0	2
11049	0	0	1
11050	0	0	2
11069	0	0	1
11070	0	0	2
11073	0	0	1
11115	0	0	1
11116	0	0	2
11123	0	0	1
11124	0	0	2
11125	0	0	1
11126	0	0	2
11127	0	0	1
11128	0	0	2
11131	0	0	1
11132	0	0	2
11135	0	0	1
11137	0	0	1
11138	0	0	2
11141	0	0	1
11142	0	0	2
11147	0	0	1
11148	0	0	2
11155	0	0	1
11156	0	0	2
11159	0	0	1
11160	0	0	2
11161	0	0	1
11162	0	0	2
11165	0	0	1
11166	0	0	2
11167	0	0	1
11168	0	0	2
11173	0	0	1
11174	0	0	2
11175	0	0	1
11176	0	0	2
11177	0	0	1
11178	0	0	2
11179	0	0	1
11180	0	0	2
11181	0	0	1
11182	0	0	2
11183	0	0	1
11184	0	0	2
11185	0	0	1
11186	0	0	2
11274	0	0	1
11275	0	0	2
11278	0	0	1
11279	0	0	2
11507	0	0	1
11508	0	0	2
11555	0	0	1
11556	0	0	2
11597	0	0	1
11619	0	0	1
11624	0	0	2
11625	0	0	1
11626	0	0	2
11651	0	0	1
11652	0	0	2
11661	0	0	1
11662	0	0	2
11663	0	0	1
11673	0	0	1
11674	0	0	2
11675	0	0	1
11676	0	0	2
11677	0	0	1
11678	0	0	2
11679	0	0	1
11683	0	0	1
11685	0	0	1
11686	0	0	2
11687	0	0	1
11691	0	0	1
11692	0	0	2
11693	0	0	1
11694	0	0	2
11695	0	0	1
11696	0	0	2
11697	0	0	1
11698	0	0	2
11705	0	0	1
11707	0	0	1
11708	0	0	2
11710	0	0	2
11711	0	0	1
11714	0	0	2
11715	0	0	1
11716	0	0	2
11717	0	0	1
11718	0	0	2
11719	0	0	1
11720	0	0	2
11721	0	0	1
11722	0	0	2
11723	0	0	1
11724	0	0	2
11725	0	0	1
11726	0	0	2
11741	0	0	1
11742	0	0	2
11743	0	0	1
11744	0	0	2
11745	0	0	1
11746	0	0	2
11747	0	0	1
11748	0	0	2
11749	0	0	1
11753	0	0	1
11754	0	0	2
11755	0	0	1
11756	0	0	2
11757	0	0	1
11758	0	0	2
11759	0	0	1
11760	0	0	2
11761	0	0	1
11762	0	0	2
11765	0	0	1
11766	0	0	2
11767	0	0	1
11769	0	0	1
11770	0	0	2
11954	0	0	1
11955	0	0	2
